"agencyID";"ar";"en";"en_description";"fr";"fr_description";"he";"id";"id_description";"isFinal";"version"
"94";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Total economy, except agriculture";"Liste des codes pour les activités economiques, ISIC rev.4";"Economie totale, sauf l'agriculture";NA;"CL_ACTIVITY_ISIC4";"BTU";"true";"1.0"
"95";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mining and quarrying";"Liste des codes pour les activités economiques, ISIC rev.4";"Activités extractives";NA;"CL_ACTIVITY_ISIC4";"B";"true";"1.0"
"96";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mining and extraction of energy producing products";"Liste des codes pour les activités economiques, ISIC rev.4";NA;NA;"CL_ACTIVITY_ISIC4";"B05_06";"true";"1.0"
"97";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mining of coal and lignite";"Liste des codes pour les activités economiques, ISIC rev.4";"Extraction de charbon et de lignite";NA;"CL_ACTIVITY_ISIC4";"B05";"true";"1.0"
"98";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mining of hard coal";"Liste des codes pour les activités economiques, ISIC rev.4";"Extraction de houille";NA;"CL_ACTIVITY_ISIC4";"B051";"true";"1.0"
"99";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mining of hard coal";"Liste des codes pour les activités economiques, ISIC rev.4";"Extraction de houille";NA;"CL_ACTIVITY_ISIC4";"B0510";"true";"1.0"
"100";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mining of lignite";"Liste des codes pour les activités economiques, ISIC rev.4";"Extraction de lignite";NA;"CL_ACTIVITY_ISIC4";"B052";"true";"1.0"
"101";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mining of lignite";"Liste des codes pour les activités economiques, ISIC rev.4";"Extraction de lignite";NA;"CL_ACTIVITY_ISIC4";"B0520";"true";"1.0"
"102";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Extraction of crude petroleum and natural gas; mining support service activities";"Liste des codes pour les activités economiques, ISIC rev.4";NA;NA;"CL_ACTIVITY_ISIC4";"B06_09";"true";"1.0"
"103";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Extraction of crude petroleum and natural gas";"Liste des codes pour les activités economiques, ISIC rev.4";"Extraction de pétrole brut et de gaz naturel";NA;"CL_ACTIVITY_ISIC4";"B06";"true";"1.0"
"104";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Extraction of crude petroleum";"Liste des codes pour les activités economiques, ISIC rev.4";"Extraction de pétrole brut";NA;"CL_ACTIVITY_ISIC4";"B061";"true";"1.0"
"105";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Extraction of crude petroleum";"Liste des codes pour les activités economiques, ISIC rev.4";"Extraction de pétrole brut";NA;"CL_ACTIVITY_ISIC4";"B0610";"true";"1.0"
"106";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Extraction of natural gas";"Liste des codes pour les activités economiques, ISIC rev.4";"Extraction de gaz naturel";NA;"CL_ACTIVITY_ISIC4";"B062";"true";"1.0"
"107";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Extraction of natural gas";"Liste des codes pour les activités economiques, ISIC rev.4";"Extraction de gaz naturel";NA;"CL_ACTIVITY_ISIC4";"B0620";"true";"1.0"
"108";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mining and quarrying of non-energy producing products";"Liste des codes pour les activités economiques, ISIC rev.4";NA;NA;"CL_ACTIVITY_ISIC4";"B07_08";"true";"1.0"
"109";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mining of metal ores";"Liste des codes pour les activités economiques, ISIC rev.4";"Extraction de minerais métalliques";NA;"CL_ACTIVITY_ISIC4";"B07";"true";"1.0"
"110";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mining of iron ores";"Liste des codes pour les activités economiques, ISIC rev.4";"Extraction de minerais métalliques";NA;"CL_ACTIVITY_ISIC4";"B071";"true";"1.0"
"111";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mining of iron ores";"Liste des codes pour les activités economiques, ISIC rev.4";"Extraction de minerais métalliques";NA;"CL_ACTIVITY_ISIC4";"B0710";"true";"1.0"
"112";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mining of non-ferrous metal ores";"Liste des codes pour les activités economiques, ISIC rev.4";"Extraction de métaux non ferreux";NA;"CL_ACTIVITY_ISIC4";"B072";"true";"1.0"
"113";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mining of uranium and thorium ores";"Liste des codes pour les activités economiques, ISIC rev.4";"Extraction de minerais d’uranium et de thorium";NA;"CL_ACTIVITY_ISIC4";"B0721";"true";"1.0"
